"Gene"	"Transcript"	"Best.transcript"	"Log2.ratio"	"FDR"	"Ctrl462"	"Ctrl1850"	"Ctrl18294"	"Mut1847"	"Mut1088"	"Mut20699"
"Muc2"	"uc009kma.2"	1	-1.53031420331684	0.0171713144368564	17.2313252501264	16.3989352689149	18.0172928927927	15.0891243702789	15.3888121323288	17.4680281787131
"1810010D01Rik"	"uc009kqu.2"	1	-5.09865751030542	1.54102966961711e-08	7.6401434519536	7.18699849941057	6.24301723482322	1.797040311211	0	2.10759566861063
"TECK"	"uc009ktv.1"	1	2.35401118561695	0.00669599331370498	6.62609651244941	7.47891253815522	8.85474450950946	10.4690937295276	10.4687542833954	9.08254034444488
"Ccl25"	"uc009ktw.2"	1	2.44804338900958	0.00502339566519498	6.60145324331304	7.43421430602569	8.88476760073534	10.5757116680015	10.5598781453479	9.15987731816033
"Defa6"	"uc009lbx.2"	1	-6.88030414600595	0.0137297086945967	2.5681693861122	1.93036442346524	10.2719392401625	0	0	2.10759566861063
"Defb1"	"uc009lby.2"	1	3.08673648694147	0.0040544585018314	6.04343690925243	6.36038276939655	2.90246312766689	9.08558061792119	8.75222288575412	6.55750381212988
"Cib3"	"uc009mfm.1"	1	-3.32516230225329	0.0145219397181965	5.96426207198741	4.64673931447381	3.93765785428582	1.797040311211	1.81908052342301	0
"Ces1d"	"uc009mun.1"	1	-1.36415732512119	0.0126595158419385	11.8963512380652	11.7825405423162	12.1369416550613	10.4407761264756	9.90863615509696	11.3619490027993
"Mt1"	"uc009mvx.2"	1	2.01752933513232	0.000141678855699469	11.8143145875861	11.1144995538986	10.8197642447615	13.5232772578389	13.390475203551	13.0276852976151
"Pllp"	"uc009mwv.1"	1	-2.20025773216032	1.27951089727763e-06	11.2285540957986	11.1739949463576	11.0122668700816	8.60395480578781	8.58579105776012	9.72305753599133
"Mmp15"	"uc009myh.1"	1	-2.54723537799281	4.45216963007476e-09	12.2800351700268	12.1612154140464	11.8123085996708	9.43863115337467	9.18991665641372	10.2959440751795
"Smpd3"	"uc009nfx.1"	1	-1.25763326618466	0.00704615482116402	11.1576917187227	10.8443526245493	11.3176032504772	9.59681492982275	9.75498774699386	10.3254745063159
"Adamts18"	"uc009nnr.1"	1	2.04222155860673	0.0143482814470138	6.57490379691211	5.8734689951151	6.4000527339114	8.38817646855097	8.71994285877319	7.14352178354601
"Maf"	"uc009nof.1"	1	2.37972615676777	4.11059068846815e-06	9.30327851166106	8.92540892788642	8.76735765203478	11.5437139081872	11.7066051621954	10.3685567362052
"Hsd17b2"	"uc009npf.1"	1	-1.46543849563148	0.00357517163347307	12.3549358931797	12.4989971236774	11.9186391566802	11.0500562468007	10.8779651645372	10.777991837737
