#1.2
12375	6
Human_name	Transcript	X462P	X1850P	X18294P	X1847P	X1088P	X20699P
C17orf58	uc007mab.2	5.88040887531916	5.66627764667104	5.91305682637953	4.29856421633106	4.41639514603539	5.32444712351002
C8orf59	uc008oqn.1	7.38593505983297	7.96953415923694	7.78715938520064	7.85025568570482	7.65469409765833	8.21083420343493
CXorf38	uc009sqy.1	9.65168339747509	9.66240605173447	9.43908187678933	9.6501078239646	9.73387000631404	9.3323578712557
Gm2036	uc008rey.1	10.9644017711052	10.600572611021	9.99298622823916	10.6754766699502	10.6325623079484	9.96232102409745
C21orf2	uc007fwn.1	7.37403908464558	7.21930051852677	7.06132247372311	6.52291069119067	6.25729375580889	6.57789616633959
C17orf89	uc007mru.2	8.85963476700859	8.75728623832191	7.73292428386364	8.63383033451289	8.74691797624861	7.3729319427271
C11orf24	uc008fwu.1	8.66944160714299	8.23774370413906	7.75530975753771	7.20261909079794	7.68738054747062	7.80265518043363
C14orf2	uc007pef.1	11.9899238676702	11.7893168386108	11.1673165837711	11.8860755451057	11.7203619473945	11.0433460460611
KIAA1211L	uc007arx.2	10.0247563364304	10.1254575172756	10.2248097641747	9.20519232717561	9.27510474898442	9.45069134319231
C9orf64	uc007qtr.2	10.0931619362688	10.1659595170234	9.8879842781161	10.7215301143988	10.7373609325983	10.2527189858174
C12orf43	uc008zcy.1	9.28197663607704	9.36835740959311	9.19674375868271	9.30625848074653	9.1489384914716	9.10267466057876
C6orf15	uc008cib.1	0	0	0	0	0	0
C1orf53	uc007cvw.1	7.35894919348309	7.28282090787297	5.79414914167926	7.29719306484636	7.07496398300144	6.54134763166208
C19orf47	uc009fwo.2	8.36158003979321	8.25782036822983	8.00695989652296	8.17070476621235	8.25360920993119	8.09143399561056
C1orf35	uc007jdl.1	8.23589576802943	8.51658474569891	7.78715938520064	8.51023088655087	8.40123779382973	8.46373031359134
C19orf43	uc009moy.1	10.67116099638	11.1464652200375	10.2248097641747	11.148515440134	11.122207590369	10.6603352823762
2310034C09Rik	uc007zve.1	0	0	0	0	0	0
Krtap13	uc007zve.1	0	0	0	0	0	0
C6orf136	uc012arv.1	10.3104439907035	10.3966249846336	10.0594294107674	10.5395028539615	10.4511193421063	10.0890668486517
C1orf52	uc008rqu.1	8.39557146461568	8.93459385699305	7.60460221193297	9.1207353289647	9.02906371135404	8.19871018486051
C19orf70	uc008dcl.1	10.876144596644	10.7561117816936	10.176534267016	10.527042198849	10.5269400575241	10.1011465089328
C12orf49	uc008zgj.1	8.5649820068237	8.28126921480014	7.30847501160705	8.05150690837941	8.09874108981799	7.58845663256385
KIAA2013	uc008vtn.1	11.283061421136	11.3401693610917	11.0047441683859	11.5593557755026	11.537296956915	11.0425382389869
C1orf210	uc008ukj.1	10.5377467363769	10.3979298570863	9.82680374993692	10.2704210892439	10.1829344158898	9.54740542787609
C4orf27	uc009lti.2	9.18144083675918	9.25146161279122	8.39532566929569	9.29748926993998	9.15566956305384	8.64788441173258
KIAA0586	uc007nun.2	8.07031564768099	7.78062686587968	7.70866547801262	7.85025568570482	7.77466988711015	7.57450109965199
C14orf166	uc007siv.1	9.50304837901865	9.50009665400003	9.33052511547222	9.68509645678315	9.64945107557445	9.60043056061257
Gm9182	uc012bai.1	7.01445560680214	7.01458670728	7.07738831753422	7.13868897153025	6.84453528971818	7.17075403837608
C11orf95	uc008gkz.2	6.73016730636277	7.31259726200377	8.12966467184309	7.16937514678353	6.94221450596556	8.63746409647509
C11orf31	uc008kiw.1	8.22786377373426	7.95360992769619	7.23597806738845	8.01539308025518	8.00613247983864	7.38675708411638
C1orf131	uc009nxs.2	9.11480762188681	9.02048992522235	8.53518731087891	8.80307234060688	8.96957135539471	8.63088899450183
C12orf65	uc008zpn.1	7.87911415576117	7.87675691485829	7.32385898891182	7.82191371857303	7.75022177173485	7.06031100005462
KIAA0907	uc008pwg.2	10.2628802303763	10.9087882026741	11.2579611449244	10.5053776706948	10.5381840712363	11.5428955886638
KIAA0101	uc009qeb.1	9.00397741432842	8.67434765371256	7.78715938520064	8.96490227298146	9.23905393305283	8.29798266689327
C19orf60	uc009mal.1	9.74802216533424	9.64664497112866	8.68929180603323	9.8186411765106	9.738592556543	8.6597637688556
C2orf72	uc011wog.1	10.1606169332645	10.101156486146	9.68242933604502	7.38853607425707	7.22117395425145	7.22445606590064
KIAA1551	uc012ewb.1	10.5666882676343	10.6822759363831	10.6037265459188	10.9106286541464	11.001265275523	10.9776908396191
C2orf76	uc007cjh.2	6.24876996038457	6.42707977458938	4.73899636528623	6.21807168445903	6.11133108989686	4.25604273082619
C2orf82	uc011woo.1	1.83862249439275	1.93036442346524	1.07864367792527	0	0	0
C10orf71	uc007szg.2	2.5681693861122	2.62717530235616	1.83862249439275	2.48302206273401	3.89157455768868	3.6853911853689
C14orf37	uc007tkj.2	7.89532532370347	7.49185316051913	7.20170068699985	6.84439012744554	7.38456130179282	7.31577064309413
Gm30274	uc007sfr.1	9.49996366706998	9.45340958691783	9.54077876689793	9.75037839682677	9.61261011467287	9.47296461516654
C5orf34	uc007rzh.2	9.52730196506019	10.0045331161135	10.6427995344475	10.0610779100565	10.0189813290938	10.7024477690148
KIAA1191	uc007qog.2	12.2433679285319	12.2200584019833	12.0609927348667	12.211748790718	12.2824454825695	12.1139985660084
C7orf31	uc009bxf.1	5.32766642278789	4.64673931447381	5.41107852072724	3.9643187451138	4.89018382716595	5.54113671240559
Gm14147	uc008ndv.1	0	0	0	0	0	0
C7orf62	uc008wjf.1	0	0	0	0	1.81908052342301	0
Gm5645	uc009urd.1	0	0	0	0	0	0
Gm5947	uc009urd.1	0	0	0	0	0	0
Gm10057	uc009urd.1	0	0	0	0	0	0
Gm15143	uc009urd.1	0	0	0	0	0	0
C5orf52	uc007hts.2	6.62609651244941	6.63537021340589	6.1204011104038	6.0838310911548	6.31847445333056	5.54113671240559
C20orf194	uc008mjx.1	9.03176696286396	9.17943110943125	9.30640498445309	9.20025383381808	9.18193861656416	9.39027361305782
C19orf71	uc007ghq.2	7.44690773645596	7.53583342090429	6.753915354744	7.53409038939501	7.59314506161751	6.54134763166208
C7orf72	uc007iaf.1	0	0	0	0	0	1.03534089374133
C12orf29	uc007gxx.2	7.67701864471789	7.97794904663014	6.86806040353823	8.02472810051131	7.76268218083069	7.44811386923097
